sample_index,class,mean_change,psd_35hz,psd_40hz,psd_45hz,spectral_centroid,total_power
1,background,0.8228448629379272,2.4982343802548712e-06,1.0826818652276415e-05,9.728420081955846e-06,0.09245899221414312,0.00037306424928829074
2,background,0.8219534158706665,3.869667125400156e-05,9.305890125688165e-05,1.057781537383562e-05,0.08624323561557216,0.00032114796340465546
3,background,0.8229608535766602,6.276564090512693e-05,0.0005080770934000611,0.0013811251847073436,0.20210147495749203,0.00034331035567447543
4,lexus,0.8242316842079163,0.0011663926998153329,0.005617104936391115,0.0034412553068250418,0.4429422609314356,0.0028295600786805153
5,lexus,0.8204750418663025,0.00942923966795206,0.021340586245059967,0.01589990220963955,0.613181325069731,0.003389574121683836
6,lexus,0.8229023814201355,0.0001523507380625233,0.0004483080701902509,0.007805878762155771,0.34911042618099064,0.0017389074200764298
7,mazda,0.8223153948783875,0.0004644955915864557,0.0005318536423146725,0.0001714653189992532,0.3410524696796739,0.0014715467114001513
8,mazda,0.8228674530982971,0.0010266925673931837,0.0013165319105610251,0.0006889815558679402,0.42365239699803303,0.0029710233211517334
9,mazda,0.7841958999633789,0.002142679411917925,0.010735194198787212,0.0013116365298628807,0.33032258244879165,0.008038806729018688
